Algorithm : Kruskal's MST
MST edges:
56727 76945 -10
28812 33016 -10
85352 85547 -10
56737 59045 -10
56745 57709 -10
5114 17868 -10
28824 54104 -10
23654 59727 -10
41034 43620 -10
21720 51875 -10
17882 94516 -10
28811 95356 -10
430 6442 -10
45079 70766 -10
9144 18074 -10
430 75977 -10
28836 53789 -10
56768 71323 -10
41045 69942 -10
5106 50752 -10
428 23921 -10
2982 50580 -10
56786 83465 -10
427 78831 -10
65492 77281 -10
85243 99778 -10
65611 66624 -10
41005 49766 -10
45122 57166 -10
2958 25154 -10
45122 85569 -10
9127 71450 -10
33024 67599 -10
5133 24849 -10
437 7087 -10
15178 24175 -10
15179 74020 -10
15180 36628 -10
85237 96585 -10
5031 76149 -10
5126 12337 -10
56709 84898 -10
23670 75332 -10
45110 77153 -10
85289 90531 -10
65574 79031 -10
85291 96098 -10
9133 26706 -10
5125 36344 -10
33009 68487 -10
434 3485 -10
17889 87899 -10
32625 62735 -10
23475 52701 -10
3106 52380 -10
4935 69517 -10
17720 88025 -10
32649 65727 -10
29118 91856 -10
32639 61939 -10
3114 65256 -10
29119 63597 -10
64844 74359 -10
64838 65815 -10
44734 60967 -10
3117 10913 -10
21851 82067 -10
17702 18697 -10
64809 91613 -10
15420 33730 -10
15420 91540 -10
44717 66878 -10
3121 22563 -10
32622 69412 -10
17698 57671 -10
15423 22521 -10
352 34244 -10
41344 58094 -10
17697 19635 -10
44710 62847 -10
10765 23107 -10
368 96229 -10
4960 74339 -10
9268 48216 -10
10770 48578 -10
10769 14526 -10
10769 96500 -10
4955 61557 -10
21836 78726 -10
29079 40857 -10
3095 99905 -10
15376 93492 -10
4952 53279 -10
44792 73270 -10
41345 50201 -10
9275 27747 -10
3100 62268 -10
44782 61831 -10
57365 63714 -10
86507 97219 -10
4943 40596 -10
57379 84583 -10
29098 68449 -10
10762 11553 -10
57386 68883 -10
41313 84128 -10
64899 95132 -10
360 13900 -10
32561 74868 -10
17676 75445 -10
10730 25214 -10
4894 92410 -10
29160 77888 -10
32569 35464 -10
57536 93752 -10
4894 10660 -10
343 96022 -10
44672 83982 -10
41381 93918 -10
64706 86822 -10
57541 98086 -10
41386 78261 -10
9313 28779 -10
15458 51180 -10
15459 67488 -10
44657 75687 -10
23437 91588 -10
10722 31488 -10
23436 57295 -10
29178 88769 -10
10720 69938 -10
86991 99489 -10
4883 51448 -10
10719 56350 -10
15468 20615 -10
338 48181 -10
3130 56801 -10
41345 83374 -10
15425 53400 -10
15426 78788 -10
86734 99850 -10
4912 87302 -10
15430 47209 -10
41358 62049 -10
29141 54625 -10
15433 17946 -10
32599 55352 -10
57495 73051 -10
64764 87245 -10
29147 85907 -10
9265 10617 -10
17684 45968 -10
64756 65032 -10
4901 24675 -10
10735 59626 -10
346 80842 -10
10734 60177 -10
345 17418 -10
32584 38627 -10
15445 62433 -10
32579 33374 -10
23451 27802 -10
17676 22996 -10
17779 47724 -10
32809 93999 -10
23545 40421 -10
57116 57582 -10
387 14214 -10
10807 22113 -10
387 13882 -10
44891 83316 -10
32795 76078 -10
57135 57331 -10
32791 58112 -10
15317 31177 -10
65130 83434 -10
65127 78715 -10
23548 29448 -10
32778 65301 -10
15322 60182 -10
29012 93084 -10
15326 44162 -10
9240 15807 -10
17774 63512 -10
4995 68981 -10
57195 99453 -10
65091 96957 -10
29027 47825 -10
10793 21417 -10
23522 49142 -10
15338 19630 -10
32832 76217 -10
5031 79842 -10
3040 13527 -10
15290 93246 -10
41175 77265 -10
85999 88858 -10
15294 79252 -10
86004 92348 -10
9215 15371 -10
44925 46177 -10
5025 68543 -10
3043 54364 -10
65194 77692 -10
57069 61163 -10
23521 91980 -10
9220 16728 -10
28968 68408 -10
86046 90190 -10
28971 83735 -10
5023 74689 -10
57079 85639 -10
41200 56231 -10
32820 46507 -10
57087 72035 -10
28978 41706 -10
41213 91925 -10
44901 78171 -10
28979 99792 -10
21829 99011 -10
86374 91142 -10
17758 64759 -10
32721 56538 -10
44837 67205 -10
65016 92288 -10
4970 20641 -10
86385 88659 -10
29058 60227 -10
57289 92912 -10
10776 43657 -10
65006 72135 -10
44831 47111 -10
3086 53454 -10
10780 35694 -10
15364 37858 -10
370 93194 -10
10775 69210 -10
3087 9296 -10
10774 28915 -10
370 58333 -10
29064 95174 -10
10774 95273 -10
3087 42083 -10
64995 86860 -10
17749 38169 -10
9263 34365 -10
3090 9719 -10
86337 93193 -10
44854 89633 -10
4985 97724 -10
3071 42447 -10
15344 89586 -10
15345 23843 -10
15346 63481 -10
57219 76648 -10
3073 24572 -10
21817 77595 -10
4983 38987 -10
4983 75138 -10
86322 97420 -10
23518 65384 -10
15132 44738 -10
10782 67107 -10
10782 87495 -10
15351 31581 -10
4977 22075 -10
17761 31285 -10
15352 74691 -10
4977 7000 -10
57252 90230 -10
23513 56025 -10
86356 99076 -10
15358 18333 -10
32725 81619 -10
14898 19288 -10
5366 8216 -10
40623 81061 -10
14891 23316 -10
66455 75626 -10
33461 84573 -10
40634 78147 -10
2792 87104 -10
518 2821 -10
28473 65862 -10
8954 48023 -10
517 44460 -10
55869 99463 -10
2796 8085 -10
5366 34030 -10
14898 66053 -10
40653 44542 -10
11076 17462 -10
66426 95818 -10
11075 90879 -10
66421 96081 -10
66419 70168 -10
515 3798 -10
40656 84361 -10
66415 68441 -10
5353 25427 -10
40663 93194 -10
33446 39828 -10
66482 99849 -10
23898 45184 -10
525 735 -10
21540 58424 -10
55812 67286 -10
45621 73595 -10
8936 48357 -10
11097 92195 -10
5374 22218 -10
5373 16392 -10
40589 68495 -10
83739 85247 -10
66484 69968 -10
14880 73492 -10
2802 49236 -10
33479 73352 -10
33475 45299 -10
66480 68966 -10
55836 60238 -10
83768 94612 -10
66467 73801 -10
55844 98921 -10
45595 61217 -10
45594 90661 -10
83797 84460 -10
23887 41127 -10
5367 46969 -10
45590 81606 -10
23845 75962 -10
55965 90466 -10
23853 27984 -10
33398 45976 -10
14932 21191 -10
66341 93527 -10
66340 81365 -10
14932 87680 -10
33389 85679 -10
11056 19646 -10
40688 72249 -10
2818 19479 -10
5327 37213 -10
33377 50011 -10
14930 24088 -10
66322 93679 -10
66310 78601 -10
18086 55915 -10
5321 51653 -10
2824 27956 -10
5320 36026 -10
33364 98012 -10
2825 38228 -10
28518 84996 -10
45486 99674 -10
23833 94694 -10
